alg,timestamp,only_inference,val_size_pct,infer_lr,infer_weight_decay,infer_num_epochs,gpu,seed,root_dir,results_csv,batch_size,num_epochs,lr,weight_decay,momentum,pretrained,infer_momentum,high_sampling_power,train_worst_group_accuracy,train_average_accuracy,group_accuracy,group_avg_precision,group_min_precision,group_avg_recall,group_min_recall,worst_group_accuracy,average_accuracy,early_stopping_worst_group_accuracy,early_stopping_average_accuracy,eiil_num_steps,eiil_lr,upsample_factor
spare,2024-01-17 17:32:39.350648,False,15,0.0001,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,0.0,77.46472327255994,0.6596638655462185,0.5318532818532818,0.1351351351351351,0.3902674386545354,0.1282051282051282,34.50110864745011,86.81895188841226,78.03738317757009,97.78824906090766,,,
eiil,2024-01-17 14:52:10.746322,False,5,0.001,0.1,2,6,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,1.3888888888888888,98.51929092805004,0.3025210084033613,0.8181818181818181,0.6363636363636364,0.3229942100909843,0.1075268817204301,10.74766355140187,88.26643562759058,71.49532710280374,96.69625822851262,20000.0,0.01,
eiil,2024-01-17 14:51:42.717764,False,15,0.001,0.1,1,7,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,96.35036496350364,0.5980392156862745,0.6005371813777123,0.3297872340425531,0.3564240419079129,0.3154121863799283,0.1557632398753894,76.92776848127676,83.17757009345794,90.84893811908432,20000.0,0.01,
eiil,2024-01-17 14:52:36.466065,False,15,0.001,0.1,2,6,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,1.3888888888888888,98.51929092805004,0.5434173669467787,0.6551226551226551,0.492063492063492,0.2793631100082713,0.1612903225806451,10.74766355140187,88.26643562759058,72.6829268292683,96.30531987777265,20000.0,0.01,
eiil,2024-01-17 17:57:40.013231,False,15,0.001,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,1e-05,1.0,0.9,True,0.9,,0.0,76.78832116788321,0.4327731092436975,0.2406015037593984,0.0,0.4102564102564102,0.0,0.0,23.211678832116785,16.186252771618626,86.38624194008631,20000.0,0.01,
spare,2024-01-17 19:15:21.717096,False,5,0.0001,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,27.56892230576441,83.34944579124836,0.6470588235294118,0.512358757062147,0.0416666666666666,0.3310587262200165,0.0384615384615384,76.4797507788162,94.3000101796812,85.202492211838,97.75755796672271,,,
spare,2024-01-17 19:26:27.528535,False,5,0.0001,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,27.722772277227723,98.47189091540514,0.6512605042016807,0.5047043010752689,0.0416666666666666,0.3418114143920595,0.0384615384615384,47.849223946784925,80.16830494132876,83.80062305295951,97.65065659159856,,,
spare,2024-01-17 19:32:38.183246,False,15,0.0001,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,27.722772277227723,98.47189091540514,0.6694677871148459,0.5364841344222787,0.1038961038961039,0.3881996140060656,0.1025641025641025,58.72274143302181,94.14574219257598,83.33333333333333,97.74932346679996,,,
spare,2024-01-17 19:33:22.146187,False,15,0.0001,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,27.56892230576441,83.34944579124836,0.6638655462184874,0.5361585782638414,0.1038961038961039,0.3810311552247036,0.1025641025641025,70.55432372505543,91.84774039132054,83.17757009345794,97.84287344777778,,,
spare,2024-01-17 19:34:27.170071,False,5,0.0001,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/end2end_tuning/group_recovery_metric/results.csv,64,300,0.0001,0.1,0.9,True,0.9,2.0,17.61904761904762,93.45622726322522,0.6470588235294118,0.5044398907103825,0.0416666666666666,0.336435070306038,0.0384615384615384,59.81308411214953,95.15047669870395,80.21806853582555,97.99220436512768,,,
